class,text
Positive,"I somehow missed that there was a slit in the front of this tunic below the buttons. it looks fine on, i'm just wondering if i can still pull it off with only leggings underneath (why i got it). otherwise, just as pictured. i'm 5'7"" 125 lbs and got an xs."
Negative,"Really wanted to like this and took chances based on other reviews, even with the sale price and addtl discount. it's basically $30 blouse fabric with design and detail-work of a much more expensive blouse. the white is sheer and and fabric will wrinkle easily. if it were black, you could probably get away with it, but the white shows too many flaws and will wrinkle. sad to have to send it back."
Negative,"Wanted to love this top, but couldn't. the arm holes where so big you have to wear a top under to hide side boob... very light sheer material. had to go back"
Positive,"It's definitely not a $100  blouse, but i took advantage of the sale on sale and gotta say i love it! it's slightly sheer, but with a plain nude bra it's fine. beautiful details, very retro, light and breezy. wearing it to work and with jeans."
Positive,"Very nice but thin materal. very sheer. i paired with the palmarosa wide legs. loved the way it looked. i do think the sale price is a bit high for this shirt, though."
Positive,"I really love cloth & stone, and this top did not disappoint. i am usually a size small in tops but tend to be an xs in halters because the arm holes are usually big on me. i went with my usual xs and it fit perfectly. it has a nice drape to it and is super soft. i will add that when looking at the picture, i didn't notice that there is a muted pink to the plaid design. i originally thought it was just a navy blue and white plaid. however, there is a really light pink to it as well. i actually w"
Positive,"I have never purchased this brand before at retailer and there were no reviews on it when i purchased it.  i bought my usual size medium and it fit perfectly!  i am 5'2"", 120# with broad shoulders.  loved the fringe on the top and i think it will be very versatile . . .jeans/boots, skirts/heels.   definitely a keeper!  as a petite gal, this was not overly long.  if you have larger hips, this will not hang well."
Positive,
Positive,"This is such an amazing take on a white blouse. it's fun and still polished! the fabric is so soft and so easy to dress up or down!

the arm holes run a little small but the cut of everything else is amazing."
Positive,"This is a nice light weight cotton i purchased for work.. i usually take a size 4 or 6. i bought it online and opted for a size 6. i will be exchanging this for the smaller size, as it is a bit boxy and the sleeve length is ample. once the exchange is done i look forward to having this blouse that i can wear untucked and still not be wearing yet another tunic (my go to style)."
Negative,"I loved this top online but it arrived very wrinkled which raised a red flag as to how it would look after wearing it. seemed high maintenance. also, didn't love the fit. color is vibrant but overall not a fan of this top."
Positive,"I love the length of this - no danger of explosing my muffin-top! the fabric is super cute - good weight, pretty color. i got a medium which is a bit blousy - i think i could have gone with a small."
Negative,"I bought this top in the store, which was good because i ended up wearing a size smaller than i usually do. i loved the flowy fit of it. the washing instructions say machine wash cold, tumble dry low. i washed it on cold and hung it to dry. it shrank to the point of being unwearable (the dreaded button gap!) and lost its softness. i hope the store lets me return it."
Positive,"This is one of the best purchases f
i have made at retailer recently. i got this in ivory in my usual xs. the pictures do not do it justice.  it has such a nice drape and i love the detail on the back.  looks great with black cropped trousers, as well as skinny jeans."
Positive,I bought this shirt along with a matching vest and duster........love it!
Positive,This top fits well as expected for the size. i love the ease of the top and wear it both casually and a bit more dressed up. great styling on the back.
Positive,"I bought this at the retailer store the other day and i wore it to work and i received so many complements. it has the perfect amount of swing and hides your middle without looking frumpy. i got the blue color and wore it with skinny jeans and ankle boots. the red is really more of a bight pink color, not a rich red as pictured. i wish it came in more colors and patterns...maybe green or purple? it does run big, i usually take a large, but a medium was perfect."
Positive,"Lovely top, very rich looking, i always get compliments. it's loose fitting but not baggy and the embroidery is well done."
Positive,"Great fit and quality. i'm 5'3"" and 130 lbs, size 4 fit perfectly. bought both the blue and black. could definitely dress up or down!"
Positive,"I am normally a 4, but they only had the white in size 2, so i tried it. i was pleased to see that it worked out just fine because it is meant to flow, therefore has plenty of fabric. it is very graceful and very pleasant to wear. i don't know how to explain it, but i had to take a second look when i saw it on the photograph because i was not sure it was the same blouse. much better in reality than on the picture."
Positive,"Love this top. it's everything all the previous viewers said....except that the white isn't white but a creamy white.it has a yellow under tone.. this restricts my over all plans,but i still like it."
Positive,"I have so many compliments on this blouse. i love the style and design. i wear it with my long cotton skirt because it runs a little short since i have a long torso and i am 5""8 tall. i would love to wear it with my skinny pants but then it won't look right in the back kinda hang out. otherwise really nice quality blouse. i would definitely buy another just to have a back up."
Positive,
Positive,I tried this in store and fell in love. i'm usually between a 0 and a 2 in tops and took this in a 0 because of how flow and lose this is. the fabric is light and not bulky so it can also be tucked in.
Positive,"This top is really cute and can be worn off shoulder or not.  the embroidery is really pretty.  my only comment would be the top is shorter than i expected, if you wear it off shoulder its of course longer but still shorter than i would have preferred.  keeping it anyways as it will be a fun going out casual top."
Positive,Super soft and comfortable with a flattering fit. love the tiny buttons and the 3/4 sleeves since many times the sleeves are too long for me. already my favorite fall top.
Positive,"I was a little hesitant to order this, thinking it would be too large and unflattering but thankfully i was wrong. this shirt is super cute and comfy. it is a bit of an oversized fit but the fabric drapes nicely and is quite flattering. my new go to outfit this fall will be this shirt with the sleeves rolled up, ankle jeans and my fave oxfords. i'm 5'3"", 115lbs and went with the size 4 regular"
Negative,"I fell in love with this shirt the moment i saw it!
unfortunately, when i went to put it on, there was a hole running down the seam in the back. i went to store to exchange, wore the shirt, and someone tells me i have two holes in the back of my shirt. horrified, i went home, took a look, both holes along the seam! i will be returning this, i really liked this shirt!"
Negative,"I love good, flowy blouses and like the over sized look, but this one didn't wow me. i thought the quality was just ok. it didn't flatter me. i almost liked it, but i didn't. i'm glad i tried it on, because looking at the pics online i thought i'd like it way more than i did. just not great."
Positive,"This shirt is very soft and fits nicely. as with a lot of maeve tops, the arms are a little snug so if you have muscular arms you'll definitely want to size up. it won't make the shirt too ""blousey"" because it will still look really cute tucked in in the front with ankle jeans and a trendy belt. i wish i had gotten this in the blue before it sold out because it is lovely!"
Negative,I loved the star pattern of this top but the cut was odd. it is very big in the chest and full at the bottom. for anyone who is petite on top it tends to look sloppy.
Positive,"I bought this in both the black motif and the ivory. i got a size 2 and i would say it is true to size. the fabric is very comfortable and doesn't wrinkle easily. it does have a ""flowy"" look to it but i didn't find that it had too much fabric. i wouldn't tuck it in though. i find it looks really good with skinny jeans/pants and i love throwing a cardigan over it for cooler days. the details in the double buttons and on the back are really cute and make it more unique. i recommend the shirt."
Negative,The quality of this shirt is great and the colors are pretty. it just made me look super wide. i feel like the waist is too high - not quite empire and not quite at the waist. it just wasn't going to work for my body. maybe a different size would work but i don't like it enough to try.
Positive,My expectations were blown away in the best way when i tried on this top.  i typically have issues with button-downs in the chest area (buttons never lay flat) and this top lays perfectly.  the material is super soft.  looks great buttoned all the way up or with a few buttons left open.  i can't wait to wear with a pair of black high-waisted jeans this fall!
Negative,"This top was gorgeous and fit perfectly right out of the bag, with only a quick ironing. unfortunately, the first time i washed it (cold water, hang dry), it shrunk so that it no longer fits across the bust without tape where it was once roomy, is much shorter, and feels rougher to the touch. like another reviewer said (unfortunately, after i had purchased and washed!), i wish the label would have just said to dry clean only, because i regret washing it and would have done otherwise if i had kno"
Positive,"Beautiful blouse that can be dressed up or dressed down. online shows as purple, but the black mortif is be true black background with pretty floral colors. i rarely wear floral design, but this blouse make it work. the material is such a soft rayon material. love, love, love."
Positive,"The first time i saw this in the store i passed it by because the fabric didn't appeal to me .... but the second time i tried it on and fell in love .... had to have it in the beautiful blue.  i'm busty 32h but wear a small and the gathers do wonders to camouflage, which was a nice surprise, because i usually avoid anything with fullness.  will look great with white or black jeans but i will also pair with a very subtle pattern legging as the length is perfect.  i'm short, 5'3"".  neckline is fem"
Positive,"I looked at this on the hanger and almost passed it up. i'm so glad i didn't because it ended up looking so much better on. i wear a s or xs in retailer tops and went with the xs. i'm 5'6"" and it still had plenty of room and enough length to cover my backside. i usually gravitate to reds but the red in this top, while pretty, had too much pink in it for me."
Positive,"This shirt has an incredible softness to it and the purple print is so lovely, i did end up returning it simply because the flowiness was a bit too much for me. i had tried the 2 and 4 and went with the 4 due to arm restrictions in the smaller size. too bad because it really is a lovely top. definitely worth a try in store!"
Positive,"This blouse drapes and floats lightly like a dream. the dark black patterned top is not see-through which means you can easily wear it without having to layer. the length covers past your hips and the pattern is flattering.

the doubled-up buttons makes the blouse unique and it's comfortable enough to wear to work or with jeans from late summer into fall."
Positive,This shirt is wonderful! i love the styling and the print. sure to be a favorite!
Positive,"I got the dark blue print which is a really pretty pattern. the fabric has a nice crinkly feel and the cut is very forgiving. i thought from the pictures it would be more of a traditional button down with straight lines. it actually is a looser fit but without the trapeze shape of some ""swing"" tops which i have found to be less flattering for those of us who are curvier on the bottom half. it's comfortable and flattering, could be tucked in or worn out and likewise dressed up or worn casually wi"
Positive,"This is a super comfy and adorable shirt. got the black motif - it could def. be passed off as a dark/inkish navy color, too, so it's very versatile. it runs typical/tts for maeve (if you're unfamiliar with the brand, order up one or two sizes if you have broad shoulders and/or large arms). this is super lightweight; feels ""slinky"" for lack of a better word. essentially, it's rayon-gauze- but it is double-layered, so it is not sheer at all (no need for a cami, although in the lighter version i c"
Negative,"I really wish i could keep this top. the material is okay and i have noticed with this brand, shirts made from this material do not wash well or look that nice after a wash. if you have the time to dry clean then i would 100% recommend this top. another tip if you buy this (since i didn't read the description) the top has buttons all down the front. i am not a fan of button tops because i have a larger chest so i wouldn't recommend this top to someone who is busty."
Negative,I got the blue. it is very short. one side of the shirt i received was shorter that the other. the material feels cheap and pleats out a bit right over the bust - only flattering on small busted models.
Negative,"I wore this for a few hours, and while it i got compliments i ended up needing to return it after the seams opened up over the shoulder blades. the fabric is so fine that during the normal goings-about of my day it gave way. and no, i didn't buy too small, and the fabric didn't pull while i was driving or reaching for anything."
Positive,"I bought the black motif, the design lends to a nice pop of color.  the venting detail on the back is beautiful, but probably not as obvious on the black.  maeve is one of my favorite retailer designers.  i'm usually between a s/m or 6/8 in blouses.  i followed advice from other reviewers and got the 8- for room in the arms.  the blouse is very billowy- much more than in the photos, but i'm wearing it with skinny jeans and i love it!"
Positive,"I got this shirt as a gift. it's cute and very comfortable. it is,however, a little thin so you may need to wear something underneath."
Negative,This item states you should wash in cold water and tumble dry low heat. it shrunk after first wash in cold water and i didn&#39;t even use the dryer. do not wash. real bummer..
Positive,"I purchased this in blue. it has a soft fabric and seems well made. i have worn it several times and think it is quite comfortable. i bought one size up due to comments on the site, but my daughter thinks i should have stuck to the size chart."
Positive,"Easy breezy top that goes with so many outfits. i am petite (5'0'', 115lb), but like the longer look of a top, so went with 4r, thought that the arm holes would be too small if went with 2r. there is a lot of excess material around the sides...and back. i was tempted to return, but the armhole issue prevented me and it was so cute, i kept it. i think it will go through the a few seasons (seattle is unpredictable weather-wise...) and can be easily layered. i like the blouse...but don't love."
Positive,"I got the navy blue pattern and i absolutely love it. it's soft and cozy and just dressy enough to pull an outfit together.  i initially sized up to a 10 based on other reviews but exchanged it for an 8, my normal size. it's flowy so the bigger size was way too much fabric. in the 8 it's just right for the style."
Negative,I absolutely loved this top. it fit great and was easy to dress up or down. i wore it once and washed it according to the tag. cold water and flat dry. it is now 4 sizes too small and unwearable. extremely disgusted.
Positive,"I bought this shirt in a size 10. i am a 32 4d and it fit perfect, but wanted it to fit flowy as it does on the model...so sizing up to a 12. very nice quality fabric...not sure how it will be after it's washed. looks just like the picture. i bought the ivory color."
Positive,I love maeve designs in general and find that their sizing and quality is consistent. this top is so soft and a bit billowy.. the darker pattern in the black motif combined with the lightweight nature of the material make it perfect for fall. i love the little details: staggered/ paired buttons down the front and interesting seaming that isn't as apparent in the photos. considering another color as well...
Positive,"I love this blouse. it is soft and has nice drape. even though it is very voluminous on the bottom, the true-to-size cut of the arms and shoulders as well as the seaming in back keep it crisply tailored and not overwhelming. thinking about buying more prints!"
Positive,"Swingy and just the right weight for the office. the cream is ever so slightly sheer but looks really good with a darker bra, even for the office because you can't really see through it. i'm wearing this all the time this fall and winter with skirts, black pants, and skinny jeans"
Positive,I love this top! the length is just right and i love the flow of it!
Negative,"Finally a pretty maeve shirt that actually fit my (apparently) giant hulk arms.. but it's so flowy/swingy i had to return it. this might just be a problem with being a larger lady, but the excess fabric made me feel like i was wearing a tent and made me look 10x bigger than i was around my waist/hips, even when balanced out with leggings. i thought about trying to size down but wasn't sure if that would even solve the excess fabric problem and still leave room in the arms. of course i can't try"
Positive,I love this shirt. i bought the ivory color. it's incredibly comfortable and an easy style.
Positive,
Positive,"The sales girl added this to my room, it's so darling and it came home with me."
Positive,"I really like how this shirt flows and feels. the details are super cute (double buttons in front, pleats in back). great shirt to transition to fall."
Negative,"I really wanted to like this but the fit was just off. it made me look like i was very pregnant and i usually wear loose and flowy tops too. this one was just too much material. i am usually an xs and that was the right size for me. i thought about taking to a seamstress and having some of the material taken in, but decided in the end to return because i just didn't love it. the pink color and the fabric are nice,  though there were several hanging threads too which is why i gave quality a 3."
Positive,"Although this is an online only, i was lucky enough to stumble along a return in the store. this is the same quality and soft fabric that i expect from tyhlo. it doesn't show as much in the model photos, but this top has a subtle high-low effect, which adds a bit of elegance to the top.

i took my usual size xs in the tyhlo brand. however, note that i am small busted (~34b/c) and this was already starting to pull some across the chest. my biggest critique it that this pulling caused a small ga"
Negative,"I purchased the blouse in both the ivory and black. the black i decided to keep because it will go with anything. i was hoping the ivory blouse would work but it's thin and see through. if someone could please tell me where i could find a casual, white or ivory blouse that is not entirely see through i would greatly appreciate it!"
Negative,"I was expecting a lot more, but this was disappointing. the material is thin and the quality isn't great. it also hung loose, just too loose, as it runs very very large i returned it"
Positive,"I really love this top. it looks great under a black tahari suit that i wear to work. the neckline looks really nice. the only negatives are that it's a bit sheer, so i have to wear a tank under it and it's a little wide. it looks fine tucked in or hanging out with jeans for a more casual look. i'd recommend this top, especially if you can get it on sale. pretty true to size. i'm 5'4'', 120 pounds, and a 32 c and the size 4 top fit me nicely."
Positive,All the reviews have said the truth. this shirt is absolutely adorable in terms of the top. but you will definitely need this tailored at the waist. give it a little more taper at the seams to suit a woman's curves. it seems almost funny they didn't do it to start with given the really feminine details on this shirt with the lace and the sleeves...
Positive,Cute top. fits short but roomy. will get a lot of use in my wardrobe.
Negative,"This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom, which normally i like, but not this time. sad."
Positive,"I am on the fence on this one........it's quite beautiful as color goes, the pic online seems rather faded. i just felt it was a bit wider on the bottom than might be flattering otherwise. beautifully made and the fabric is of great quality. 
i just i wish some of these tops were in better proportion from top to bottom, and less bulky.
other than that i still may purchase as the print is beautiful.........."
Negative,"First off, the other reviews are spot on regarding the quality of this top. the material is thick and pleasant feeling, the print is beautiful and the construction is nicely done. however, i just couldn't get past the fit issue, which was also mentioned by the other reviewers. i ordered a 14 for my 38 dd chest, and it was loose in all the wrong places. i'd be interested to see what a 12 looks like on me, but i'm afraid it would be too snug. this may look awesome on someone else, but i had to ret"
Positive,"This top really pays attention to detail. it is very refreshing to buy a top that is lined so i don;t need to struggle to find the right cami to go underneath. also there is a lovely snap fixture to hold your bra strap in place. very thoughtful :) the top seems to run true to size and fits well. neither the arm holes or the v-neck are too low. i agree with the first reviewer that the main need for sizing up or down is due to breast size. i'm a 36dd and the 10 fit perfectly. also, the colors in t"
Negative,"As someone with a large chest and a smaller waist, i found this top incredibly unflattering (and i like swingy tops). it was too short, too wide in the hips, and too tight in the bust. the pattern and fabric are very pretty though."
Positive,"I absolutely love this top! i often shop the sale items first, but when i saw this top in the store, i didn't hesitate to pay full price. the material reminds me of vintage clothing - it is a dry clean only item, but is so special that it's worth it. the colors and construction (beautifully lined, bias trim) are impressive. and, this top looks better on me than on the model:)"
Positive,"I took a risk and bought this blouse and got a wonderful surprise. i bought my usual size small (34c, 31"" waist) and it was perfect. the details of this blouse are amazing. you cannot see the flecks of copper-gold leaves all over the fabric or the gold threads running down the seam in the front. it is really, really beautiful. the fabric overall is soft and flowy and the sleeves do not stand out off my shoulders in a weird way. there is a soft flow of ruffle down both sides of the shirt. the fro"
Negative,"This is a beautiful blouse but needs to be returned for size. i have lost a bit of weight; the last couple of blouses i have gotten in a m (including this one) have been to large for me. i am 5'5"" tall, 138 lbs and in this blouse need a s. the fabric is satiny and substantial with a gorgeous lining edged in contrasting thread., it hits at the top of my thigh in a regular size 8 but i should have ordered a 6. i would say to size down if you are close to being between sizes. the colors are as show"
Positive,"Tried this little gem on in the store but they were out of my size. the ladies were so helpful, ordered it, shipped to me directly and i received it amazingly fast - not an easy task when you live off grid in north idaho!
i wore it last night to a st patrick's day party in california and received a ton of compliments. paired it with black leggings and strap or black heels. 
i'm still smiling today, can't wait to wear it again. the fit is flattering and the quality superb.
thanks retailer"
Positive,This top is gorgeous! the print is lovely and the material and cut are well constructed. can't wait to wear!
Positive,"I really wanted to love this top, but the fit was just off on me. the design and material is so pretty. however, i expected the fit to be more ""peplum"", but there was not any structure. i think this would be better on more slender women."
Positive,Love the way this top fits. got many compliments on it! wish the arm holes were a little closer fit - can see the bra peeking out a teensy bit.
Positive,I bought this top because i loved the floral print. i had no idea i was getting a top notch quality top. i love the flow of the bottom and the zipper in the back is so classy. it has a lining and the coolest thing about it is the snaps that protect your bra from showing. love love love this top!!
Negative,I was very disappointed with my recent retailer order. i ordered the meleri eyelet tank and it had a stain on the front. i also order a dress that came with a tear in the fabric. sale items should not be damaged unless the customer is aware of the damage and accepts it in that condition. very disappointing.
Positive,This is a wonderfully-made top. i love the colors! if you are busty you must size up! this fabric doesn't give (stretch) at all.
Positive,"Stunning! very well made. the colors are so vibrant and stand out without being too flashy. the cut is a bit strange but it works. runs true to size. i took my normal size 0. i rarely buy anything at retailer full price, but i made an exception with this one. a must buy!"
Negative,"I have a 36c bust. i bought this blouse in a 10, even though i wear an 8 or 10. i sized up based on previous reviews. this top was super tight in the bust (it literally flattened my breasts) and very loose on the bottom. it was not flattering at all. the material is gorgeous. it is thick. it is lined. it is darted at the bust and it flares out in a peplum fashion where the light fabric up top meets the dark band of fabric in the middle. the problem is that busty ladies will find the bust area wa"
Positive,Adorable peplum top! colors are much more rich in person. saw it in the store and stalked it online until it went on sale. beautiful material and craftsmanship. i thought it ran on the large side though wish it was a touch longer but not enough to not purchase. highly recommend....great piece to dress up or down and easily add layers for fall.
Positive,"The retailer by me actually had this and i had to try it on. my thoughts below:
___________
pros:
- well-constructed with lining underneath to avoid the need of a cami or tank. no see-through issues whatsoever.
- the fabric is great quality and looks nicely sewn. no fraying or strays seen on the 2 sizes i tried.
- there's a back zipper that goes from top to bottom at the back. unusual as i don't see why that's needed since you can just slip it over your head.
- front ""v slit"" isn't too low or reve"
Positive,The most beautiful top in my closet and i have a huge closet of beautiful clothes! hope retailer carries more peasant top by this brand...stunning
Positive,"Sadly, this shirt was too short for me. i'm 5'11"" and have had a hard time with some of retailer's shirts lately. but it is absolutely beautiful and the fabric feels expensive and it's well made."
Positive,"It is a pretty tank, the fabric feels nice and substantial."
Negative,"So, i want to start off by saying, the quality of this shirt really was great. as was the pattern, unfortunately if you're going off the picture know that they definitely pinned in the sides on the model. this shirt has a full on triangle shape and flares significantly towards the bottom, it's not a straight fit as the picture would suggest. i'm sure this works for some women but if you're muscular with an already v-shape to your body (meaning your shoulders are significantly sized and you have"
Positive,"Bought this on sale in my reg size- 10. im 5'9"" and about 36c. the fabric is heavy and pretty. this is a more formal top in my opinion. it is lined. it is much wider around the waist than appears on model. zips up the back, but i can pull on and off without unzipping."
Positive,
Positive,"Love this shirt...got it in the ""blue"" but i will say the print is a very dark navy, almost black. i'm 130 lbs, 34d and the size 6 fit me fine. so i would disagree with other reviews that says it runs large. this is perfect to hide muffin tops with the slight swing style that has a little flair!"
Positive,"As other reviewers have said, this shirt runs a little short and wide. i usually wear petite, so the length didn't bother me. the sleeves fit me perfectly (which is rare in regular sizing), so others may find that they are too short and tight. to fix the boxiness issue, i just stitched 2 of the seams in the back together to give it more shape. since i bought the black pattern, my diy fix isn't too obvious but this may not work for the other colors. it needed a little work, but it was worth it fo"
Positive,"Let me just say the ski pattern is the cutest thing i've ever seen!! i literally bought it as soon as a saw it. i got a size 2. i'm usually a 0 or 00 in most blouses and shirts, but i wanted this to be a litter looser so i sized up. it's definitely not oversized even though i sized up. the fit is a little boxy and a little shorter in the front - really flattering in my opinion. the material is really nice and it can definitely be dressed up for work or dressed down with jeans and a chunky scarf!"
Negative,First off the prints are gorgeous - i ordered three. i wanted to love them but unfortunately i found them short and wide. so back they go..
Negative,"I didn't have any problems with the fit, i love the puffin pattern, the material is nice---it's just so short. i really haven't decided if the print is worth the awkwardness of the length, or if i'll just keep it and only wear it when it's cool enough outside to wear a tank under it, so i can avoid flashing my stomach every time i lift my arms. but, yeah...it stops right at my waist in front. way too short--stop making these great shirts so short, please."
Positive,"I am partial to maeve tops, i love the prints! i loved the ski print as soon as i spotted it. i think its such a darling shirt for winter. the material is light weight which is perfect for layering, i'm planning on wearing it with my fur vest as well as a knit vest i got at retailer last summer. i got a 4 (i go between 2 and 4) because i prefer some room in button down shirts and it fits as planned. i wanted to wait for it to go on sale but i was worried about selling out so i picked up on black f"
Negative,"As another reviewer mentioned, maeve really needs to get their sizing under control and more consistent. i ordered a 4, and while it fits, i think a 6 would be more comfortable in the arms and shoulders (and i'm a thin build). the length on this was also a little weird to me...a little swingy/flared, but also short, making me feel like i'd always be playing with it while wearing. the orange print is absolutely adorable, i just wish the cut were more similar to past buttondowns that maeve has don"
Positive,What a sweet shirt!! the ski pattern is adorable and they have a cute cat pattern that i've only seen so far in the store. the fit is small. i sized up from my normal 8 to a 10 but could have even gone to a 12 as there wasn't much difference between the 10 and the 12 except in length.
Positive,Bought with the 25% off retailer was running -- usually a little skeptical of maeve regarding size but the material of these shirts is excellent. bought the ski print and the red penguin print. perfect for low-key and where i work!
Positive,"I am submitting this review because there were size issues mentioned in some reviews. i generally wear a size 4 but often size up to a 6 because i'm a d cup. i purchased an 8 in this because of reviews saying it was small. trying it on , the 8 is fine but it does tent out a lot at the bottom. i think i may have been fine with the 6 because of that; it seems a little big from the back view."
Positive,"I usually wear a 4 in maeve, and purchased this is a 6 in the orange. i'm just over 5'7"", 34c, size 26/27 jeans. through the bust and arms the 6 fits great. i still found the front to be just a tad shorter than i am comfortable. it hangs well, though, if not a bit loose. definitely more billowy and boxy feeling in person. i think if it were slightly fitted through the waist, the length wouldn't be an issue. and it isn't even that much of an issue, but i did knock off a star for that reason. i bo"
Positive,"I tried this on in the sotre (in balck) as i was planning on ordering the orangey one.

my usual is 0 or 2, sometimes petites. i thought the regular 0 was sjut fine and flattering. fabric is soft, adn every pattern they ahd in store was really nice (no orange-red though). was not overly snug anywhere, and i am a bit braod for my size.

i deceided not to purchase only because i have done seriosu damage in the last month *multiple purcahses) and this was one of 2 i had to pick... if it goes on sal"
Positive,"I seldom buy prints and almost never buy a traditional button front blouse but this shirt is my favorite purchase of the season. i chose the skier print as it was whimsical and subtle. rather than wear it buttoned and tucked i use it as a jacket over solid tees. i bought it a size larger for this reason. i like the layered look and the fabric is flowy and drapes nicely. i have been so pleased with every piece of ""maeve"" clothing i have purchased. once again thinking slightly outside my comfort-z"
Negative,"This top was a big disappointment. i ordered two of the grey motif with the print of the forest animals in size 16. neither of them fit well, but one was cut much smaller than the other. i've had this problem with all of the numerically-sized buttondown style of maeve tops. i don't understand why in size 14 & 16, this keeps happening. that's why i purchase two of each. usually one fits and the other doesn't. this time, unfortunately, neither worked. they both were too tight in the arms/shoulders"
Positive,"Love the cute cat pattern and quality of the blouse. unfortunately the front was too short and the back didn't fall properly. also, i found the arms to be tight. i'm usually an xs and a size 2 in maeve blouses. i would've ordered the the 4 but it's sold out. definitely size up if possible."
Positive,"A bit wide in the torso, but the detail at the bottom of shirt makes up for it."
Positive,I loved this top so much i ended up getting it in three colors. it's comfortable and so easy to wear. it does run large though in my opinion. i normally wear a 6 in tops and i bought this is a 2.
Positive,"I love this shirt! i got the one with the skiiers. for reference, i got a size 2 and i'm 5' 6"", 135 pounds. it's a bit tight around my shoulders, but not enough to make me want a size 4. if you have broader shoulders, a 4 would probably be good. the bottom flares out a little and is cut shorter than other button downs. it's too short to really tuck in comfortably. the print is absolutely perfect. the shirt is soft and very flattering. it's pricey but super cute!!"
Positive,"My kids gave me this blouse for christmas in my usual size 6. it was so tight through the chest, shoulders and arms. i ended up having to exchange it for at size 10! there was barely any difference in the size 8. unfortunately, i now need to have the sleeves shortened, but as this blouse is so cute, it's worth the effort."
Positive,"Must have - i splurged on the white style and red style; couldn't choose between the two. shape of shirt worked for me. the white style isn't too thin that you have to wear something underneath. costly for the quality of fabric, but i had a gift card, and it is retailer after all."
Positive,"I bought this for my sister. it is perfect for your favorite cat lover, the print is adorable up close but not overwhelming to secretly hide your crazy cat lady intentions. i love this myself, the material is soft and it's a perfect flowy blouse for day to night."
Negative,"I'm 5' 7 and bough a size 8 regular. this is so short that if you wear with jeans you can see a midriff. cute pattern, but i'm returning it."
Positive,"Tiny collar and short bodice length. lovely fabric, soft and silky."
Negative,"The blouse was not flattering on me. it would be for someone with a straight slim body type, it falls mid hips and so it accentuates my hips making them look larger. it's flared so it cannot really be tucked in."
Positive,"I am writing this because my experience with this blouse differs from that of the other reviewers. compared to all my other maeve blouses, this top fits true to size/slightly larger than usual. it's wider/boxier than it appears online, and the arms are totally normal (in fact quite roomy) on me. all the other reviewers thus far have complained of very tight arms/bust and had to size up. i am having the opposite dilemma... given the extra width due to the cut of the blouse, and the fact that the"
Positive,"Great shirt!! i bought the red penguins and its adorable. i am returning it however b/c the size i bought was too big, with that said it was my error not the brand. i think it runs true to size."
Positive,"I tried the black cat pattern in the store and it was cute, but the sleeves tend to run quite slim while the bodice is loose. so be aware you may want to size up if you ever have issues with tight sleeves."
Positive,"I purchased the blue stripes and the black cat prints on sale and i'm very pleased. they each fit me a little differently as the black cats fit tighter through the arms, the stripes remain a bit looser throughout. no complaints here! i like the variation. i ordered a size small as i'm normally a size small (36c, 135 lbs, 5'2"")."
Positive,I did not find this blouse to be tight in the arms or chest. (i'm a 34a though so maybe that is why?) i also don't have a problem with it being too short in front. i took my usual size 0. i like the feel of the fabric and the prints are great. the only thing i slightly dislike is the flowy bottom of the shirt. i wish it was more fitted and that is why i took one star off. i got the cat print. the cat faces are white and on random faces there are pink ears or a pink nose.or a winking eye - just a
Positive,"So, i'm really surprised that reviewers said the fit was too small and too tight in the arms. i'm 5'7"" and 183lbs and my husband (god bless his soul) bought me an 8 for my birthday. i tried it on just to see and was pretty impressed i could button it across my chest and get it over my arms as those are common problem areas for me. regardless i need to exchange the shirt for a larger size because even though i got it on its not how is supposed to look. the shirt is loose around the midsection whi"
Positive,"I love this brand! they produced a number of incredibly cute blouses in 2006-2010 and i've missed their quirky designs. this shirt does not run small. i am usually a 6 and have a little extra room in the chest area, even though i'm a 34dd. the arms are the perfect length as well which is nice as i have long arms. the only reason i did not give it five stars is that i wish it was a bit more fitted through the stomach area. its very billowy. i may take it to the tailor... so cute though! on a side"
Positive,"When i saw this shirt it bought back wonderful memories of ice skating on wheatley's pond as a child where i primarily grew up in the northeast. just loved it!! i tried my normal size 4 on but it fell off my shoulders and the cuffs fell mid hand so, i tried the size 2 and it fit perfectly. i see where many say it runs small and for full busted ladies it may but i am only 34b and 116 lbs and the size 2 worked fine. it is slightly blousey in the mid section but not overly so, the fabric and stitch"
Negative,This blouse ran so short in the body it has to go back. it would not cover my stomach untucked or tucked in. it's unfortunate i think it would be very beautiful and flowey.
Negative,I liked this top okay but i did not think it was worth full price. i thought it was only average.
Positive,I read the other reviews that said the shirt ran small but i found that it fit fine and i chose my regular size in maeve. the only issue is that it's baggy around the middle which is a little off and i found that it was a little too short. i gave it four stars because of the print. i chose the cat print and it's just so adorable. i might try to have the shirt taken in at the waist and then it would be perfect.
Positive,"Great blouse for curvy women. i'm always an xl in retailer tops, and even then sometimes the xls can be too tight to keep. however, i was so happily surprised with this blouse. the arms are usually an issue for me, but the arms in the blouse are perfect and loose in the bicep area. this blouse fits beautifully and is really high quality. the blouse lays nicely everywhere. i plan to wear it with a pair of gray pants so the lace cut out at the bottom shows up more. the lace is heavy duty and doesn't"
